f / Hz	X / V	dX / V	Y / V	dY / V	A / V	dA / V	phi / rad	dphi/rad
2,475E+2	-1,580E-7	1,197E-5	1,712E-6	1,219E-5	1,719E-6	1,708E-5	1,663E+0	1,265E+2
2,478E+2	5,472E-6	1,449E-5	-9,800E-7	1,387E-5	5,559E-6	2,006E-5	-1,772E-1	-2,552E+0
2,480E+2	6,842E-5	1,128E-5	-3,376E-5	1,897E-5	7,629E-5	2,207E-5	-4,583E-1	-2,685E-1
2,482E+2	-2,498E-6	2,397E-5	4,542E-6	2,427E-5	5,184E-6	3,411E-5	2,074E+0	2,278E+1
2,485E+2	-6,320E-7	2,925E-5	3,092E-6	3,055E-5	3,156E-6	4,229E-5	1,772E+0	8,388E+1
2,488E+2	-9,136E-6	3,575E-5	3,632E-6	3,719E-5	9,831E-6	5,159E-5	2,763E+0	3,029E+1
2,490E+2	-1,249E-4	2,397E-5	4,688E-5	4,407E-5	1,334E-4	5,017E-5	2,783E+0	2,670E+0
2,492E+2	6,184E-6	4,637E-5	1,151E-5	4,537E-5	1,307E-5	6,487E-5	1,078E+0	9,131E+0
2,495E+2	2,528E-6	4,730E-5	-1,392E-5	4,751E-5	1,415E-5	6,704E-5	-1,391E+0	-2,646E+1
2,498E+2	1,387E-5	4,787E-5	1,119E-5	4,847E-5	1,782E-5	6,812E-5	6,789E-1	3,760E+0
2,500E+2	-6,172E-6	4,763E-5	-4,600E-5	4,858E-5	4,641E-5	6,803E-5	-1,704E+0	-1,327E+1
2,502E+2	-9,122E-6	4,583E-5	1,389E-5	4,825E-5	1,662E-5	6,655E-5	2,152E+0	1,314E+1
2,505E+2	1,834E-6	4,593E-5	5,586E-6	4,604E-5	5,879E-6	6,504E-5	1,254E+0	3,305E+1
2,508E+2	1,606E-5	4,342E-5	1,451E-5	4,268E-5	2,164E-5	6,088E-5	7,349E-1	2,936E+0
2,510E+2	-3,846E-5	4,007E-5	1,628E-5	3,849E-5	4,176E-5	5,557E-5	2,741E+0	7,083E+0
2,512E+2	2,840E-6	2,973E-5	8,600E-8	3,062E-5	2,841E-6	4,268E-5	3,027E-2	1,078E+1
2,515E+2	4,352E-6	2,325E-5	-1,026E-6	2,341E-5	4,471E-6	3,299E-5	-2,315E-1	-5,424E+0
2,518E+2	-9,860E-6	1,947E-5	-1,393E-5	1,946E-5	1,707E-5	2,753E-5	-2,187E+0	-5,288E+0
2,520E+2	-5,402E-6	1,612E-5	-8,270E-6	1,614E-5	9,878E-6	2,281E-5	-2,149E+0	-7,664E+0
2,522E+2	3,058E-6	1,367E-5	-1,784E-6	1,398E-5	3,540E-6	1,956E-5	-5,281E-1	-4,766E+0
2,525E+2	5,462E-6	1,148E-5	4,160E-7	1,220E-5	5,478E-6	1,675E-5	7,602E-2	2,235E+0
2,528E+2	-7,940E-7	9,700E-6	2,200E-8	1,001E-5	7,943E-7	1,394E-5	3,114E+0	1,418E+3
2,530E+2	1,960E-6	8,601E-6	-5,272E-6	8,585E-6	5,625E-6	1,215E-5	-1,215E+0	-5,687E+0
2,532E+2	3,910E-6	7,143E-6	-2,934E-6	7,050E-6	4,888E-6	1,004E-5	-6,437E-1	-1,943E+0
2,535E+2	5,274E-6	6,789E-6	-1,178E-6	6,213E-6	5,404E-6	9,203E-6	-2,198E-1	-1,193E+0
2,538E+2	2,330E-6	5,693E-6	1,560E-7	5,851E-6	2,335E-6	8,163E-6	6,685E-2	2,513E+0
2,540E+2	1,269E-5	4,861E-6	1,811E-5	3,442E-6	2,212E-5	5,956E-6	9,595E-1	4,101E-1
2,542E+2	2,202E-6	4,158E-6	-1,180E-7	4,148E-6	2,205E-6	5,873E-6	-5,354E-2	-1,884E+0
2,545E+2	3,288E-6	3,666E-6	-1,602E-6	4,038E-6	3,658E-6	5,454E-6	-4,534E-1	-1,250E+0
2,548E+2	2,454E-6	3,486E-6	-2,876E-6	3,464E-6	3,781E-6	4,914E-6	-8,644E-1	-1,610E+0
2,550E+2	-1,894E-6	3,727E-6	-1,030E-5	2,362E-6	1,047E-5	4,413E-6	-1,753E+0	-3,472E+0
2,552E+2	3,590E-6	3,066E-6	-2,380E-7	2,948E-6	3,598E-6	4,254E-6	-6,620E-2	-8,221E-1
2,555E+2	2,964E-6	2,647E-6	-1,970E-6	2,787E-6	3,559E-6	3,844E-6	-5,866E-1	-9,815E-1
2,558E+2	4,176E-6	2,434E-6	-2,444E-6	2,502E-6	4,839E-6	3,491E-6	-5,295E-1	-6,237E-1
2,560E+2	2,882E-6	2,205E-6	-1,102E-6	2,361E-6	3,086E-6	3,230E-6	-3,652E-1	-8,309E-1
2,562E+2	3,128E-6	2,210E-6	-2,296E-6	2,073E-6	3,880E-6	3,030E-6	-6,332E-1	-7,259E-1
2,565E+2	3,126E-6	2,190E-6	-1,732E-6	1,959E-6	3,574E-6	2,938E-6	-5,060E-1	-6,731E-1
2,568E+2	2,624E-6	1,926E-6	-1,212E-6	1,854E-6	2,890E-6	2,673E-6	-4,327E-1	-7,342E-1
2,570E+2	4,122E-6	1,669E-6	-5,920E-7	1,834E-6	4,164E-6	2,479E-6	-1,426E-1	-4,456E-1
2,572E+2	4,104E-6	1,545E-6	-6,620E-7	1,622E-6	4,157E-6	2,240E-6	-1,599E-1	-3,964E-1
2,575E+2	3,656E-6	1,438E-6	-1,254E-6	1,467E-6	3,865E-6	2,055E-6	-3,304E-1	-4,079E-1
2,578E+2	3,766E-6	1,376E-6	-1,968E-6	1,353E-6	4,249E-6	1,930E-6	-4,815E-1	-3,748E-1
2,580E+2	3,314E-6	1,261E-6	-5,380E-7	1,353E-6	3,357E-6	1,850E-6	-1,609E-1	-4,095E-1
2,582E+2	3,888E-6	1,187E-6	-1,088E-6	1,253E-6	4,037E-6	1,726E-6	-2,729E-1	-3,251E-1
2,585E+2	3,636E-6	1,107E-6	-1,132E-6	1,227E-6	3,808E-6	1,652E-6	-3,018E-1	-3,398E-1
2,588E+2	4,240E-6	1,104E-6	-1,128E-6	1,195E-6	4,387E-6	1,627E-6	-2,600E-1	-2,836E-1
2,590E+2	3,532E-6	1,011E-6	-1,086E-6	1,064E-6	3,695E-6	1,468E-6	-2,983E-1	-3,046E-1
2,592E+2	3,928E-6	1,020E-6	-1,446E-6	1,040E-6	4,186E-6	1,457E-6	-3,527E-1	-2,697E-1
2,595E+2	3,924E-6	9,059E-7	-1,018E-6	9,412E-7	4,054E-6	1,306E-6	-2,538E-1	-2,419E-1
2,598E+2	4,178E-6	1,012E-6	-1,526E-6	9,756E-7	4,448E-6	1,406E-6	-3,502E-1	-2,394E-1
2,600E+2	3,536E-6	8,866E-7	-1,890E-6	1,050E-6	4,009E-6	1,374E-6	-4,909E-1	-2,992E-1
2,602E+2	4,214E-6	7,981E-7	-1,600E-6	8,686E-7	4,508E-6	1,180E-6	-3,629E-1	-2,086E-1
2,605E+2	4,122E-6	8,685E-7	-1,380E-6	7,657E-7	4,347E-6	1,158E-6	-3,231E-1	-1,917E-1
2,608E+2	4,302E-6	7,614E-7	-1,026E-6	8,104E-7	4,423E-6	1,112E-6	-2,341E-1	-1,895E-1
2,610E+2	9,140E-7	3,437E-7	-2,208E-6	7,695E-7	2,390E-6	8,428E-7	-1,178E+0	-6,041E-1
